,id,geoid,population,below50pov,below125pov,below150pov,below185pov,below200pov,below300pov,below400pov,below500pov
61735,1400000US48027021800,"Census Tract 218, Bell County, Texas",9390,332,1552,1684,2560,2913,5236,6034,7577
61736,1400000US48027021901,"Census Tract 219.01, Bell County, Texas",3338,122,433,469,481,569,1816,2473,2776
61737,1400000US48027021903,"Census Tract 219.03, Bell County, Texas",9046,149,219,411,771,1051,1746,4054,6359
61738,1400000US48027021904,"Census Tract 219.04, Bell County, Texas",12085,847,1989,2261,2905,3102,4850,7529,9039
61739,1400000US48027022000,"Census Tract 220, Bell County, Texas",8180,578,2769,3356,3942,4045,5404,6135,6556
61740,1400000US48027022101,"Census Tract 221.01, Bell County, Texas",4287,219,1259,1517,1872,2354,3209,3673,3934
61741,1400000US48027022103,"Census Tract 221.03, Bell County, Texas",5610,504,1517,2093,2694,2763,3697,4606,5220
61742,1400000US48027022104,"Census Tract 221.04, Bell County, Texas",4196,338,1256,1449,1924,2090,2783,3355,3642
61743,1400000US48027022105,"Census Tract 221.05, Bell County, Texas",2092,66,384,570,829,945,1473,1716,1843
61744,1400000US48027022200,"Census Tract 222, Bell County, Texas",3565,205,1119,1307,1678,1737,2405,2882,3357
61745,1400000US48027022300,"Census Tract 223, Bell County, Texas",3758,489,1378,1461,1945,2068,2728,3247,3365
61746,1400000US48027022401,"Census Tract 224.01, Bell County, Texas",5866,522,1592,1768,2330,2632,3859,4900,5321
61747,1400000US48027022402,"Census Tract 224.02, Bell County, Texas",7930,304,836,959,1094,1200,2411,4235,5242
61748,1400000US48027022403,"Census Tract 224.03, Bell County, Texas",4560,152,518,887,1387,1455,2181,2736,3455
61749,1400000US48027022404,"Census Tract 224.04, Bell County, Texas",7330,373,557,1035,1340,1752,3467,4731,5977
61750,1400000US48027022405,"Census Tract 224.05, Bell County, Texas",2043,125,384,465,622,696,1195,1480,1789
61751,1400000US48027022501,"Census Tract 225.01, Bell County, Texas",3013,103,755,815,981,1070,2031,2453,2696
61752,1400000US48027022502,"Census Tract 225.02, Bell County, Texas",12055,172,1456,2096,3083,3601,5973,7830,9352
61753,1400000US48027022600,"Census Tract 226, Bell County, Texas",4228,981,1768,2409,3105,3242,3716,4150,4193
61754,1400000US48027022801,"Census Tract 228.01, Bell County, Texas",2417,258,758,1206,1521,1623,2142,2259,2326
61755,1400000US48027022900,"Census Tract 229, Bell County, Texas",3555,417,1315,1666,1881,2198,2968,3269,3403
61756,1400000US48027023000,"Census Tract 230, Bell County, Texas",10025,492,2261,3026,3776,4070,5682,7842,8387
61757,1400000US48027023103,"Census Tract 231.03, Bell County, Texas",4603,301,1573,1919,2260,2369,3497,3963,4220
61758,1400000US48027023104,"Census Tract 231.04, Bell County, Texas",3181,323,939,1189,1584,1721,2442,2936,3101
61759,1400000US48027023105,"Census Tract 231.05, Bell County, Texas",15879,1009,3086,3929,5598,6124,8950,11655,13519
61760,1400000US48027023106,"Census Tract 231.06, Bell County, Texas",8709,175,1524,1832,3470,3674,5588,6847,7756
61761,1400000US48027023107,"Census Tract 231.07, Bell County, Texas",6905,401,1653,2244,2772,2837,4740,5612,6142
61762,1400000US48027023108,"Census Tract 231.08, Bell County, Texas",15169,701,2492,3491,4910,5689,10075,12428,13195
61763,1400000US48027023201,"Census Tract 232.01, Bell County, Texas",1301,79,123,194,305,315,533,743,1024
61764,1400000US48027023202,"Census Tract 232.02, Bell County, Texas",1857,291,680,834,1118,1161,1790,1806,1806
61765,1400000US48027023203,"Census Tract 232.03, Bell County, Texas",1160,83,327,418,600,682,929,1065,1088
61766,1400000US48027023204,"Census Tract 232.04, Bell County, Texas",803,20,165,288,347,380,666,751,777
61767,1400000US48027023300,"Census Tract 233, Bell County, Texas",8507,456,1046,1249,1651,2162,3599,5115,6424
61768,1400000US48027023402,"Census Tract 234.02, Bell County, Texas",5465,201,1007,1287,1570,1856,2791,3718,4126
61769,1400000US48027023403,"Census Tract 234.03, Bell County, Texas",7023,248,713,881,971,1021,1973,2838,3643
61770,1400000US48027023404,"Census Tract 234.04, Bell County, Texas",4017,187,432,457,701,715,1551,2089,2427
61771,1400000US48027023500,"Census Tract 235, Bell County, Texas",2088,279,719,1036,1465,1695,1862,2031,2037
61772,1400000US48027980001,"Census Tract 9800.01, Bell County, Texas",0,0,0,0,0,0,0,0,0
61773,1400000US48027980002,"Census Tract 9800.02, Bell County, Texas",0,0,0,0,0,0,0,0,0
61774,1400000US48027980003,"Census Tract 9800.03, Bell County, Texas",0,0,0,0,0,0,0,0,0
61775,1400000US48029110100,"Census Tract 1101, Bexar County, Texas",2629,128,583,653,837,866,1338,1560,1854
61776,1400000US48029110300,"Census Tract 1103, Bexar County, Texas",2942,206,1247,1274,1553,1629,1933,2270,2441
61777,1400000US48029110500,"Census Tract 1105, Bexar County, Texas",2507,949,1724,1824,1973,1996,2241,2460,2473
61778,1400000US48029110600,"Census Tract 1106, Bexar County, Texas",2769,267,1315,1574,1919,2016,2514,2715,2762
61779,1400000US48029110700,"Census Tract 1107, Bexar County, Texas",1171,180,558,682,751,779,1022,1039,1094
61780,1400000US48029110800,"Census Tract 1108, Bexar County, Texas",1753,255,848,878,999,1045,1291,1554,1608
61781,1400000US48029110900,"Census Tract 1109, Bexar County, Texas",1669,113,315,332,455,455,610,700,886
61782,1400000US48029111000,"Census Tract 1110, Bexar County, Texas",2823,341,1040,1410,1675,1725,1973,2242,2352
61783,1400000US48029120100,"Census Tract 1201, Bexar County, Texas",3666,108,321,636,828,875,1698,2474,2925
61784,1400000US48029120300,"Census Tract 1203, Bexar County, Texas",8308,260,368,436,553,558,841,1431,1641
61785,1400000US48029120400,"Census Tract 1204, Bexar County, Texas",6216,22,225,345,411,428,648,1189,1707
61786,1400000US48029120501,"Census Tract 1205.01, Bexar County, Texas",9888,632,2585,3808,4529,5113,6536,8232,9069
61787,1400000US48029120502,"Census Tract 1205.02, Bexar County, Texas",5311,947,2177,2478,3223,3433,3974,4512,4807
61788,1400000US48029120600,"Census Tract 1206, Bexar County, Texas",5850,535,1041,1243,1657,1899,2677,3724,4343
61789,1400000US48029120701,"Census Tract 1207.01, Bexar County, Texas",6149,371,1181,1397,1943,2027,3640,4445,4788
61790,1400000US48029120702,"Census Tract 1207.02, Bexar County, Texas",4492,103,780,877,1316,1316,2092,2346,2684
61791,1400000US48029120800,"Census Tract 1208, Bexar County, Texas",6934,67,258,364,470,511,1316,2014,3018
61792,1400000US48029120901,"Census Tract 1209.01, Bexar County, Texas",2413,280,809,866,990,1014,1170,1558,1835
61793,1400000US48029120902,"Census Tract 1209.02, Bexar County, Texas",7336,643,1624,2010,2476,3028,4232,5378,6111
61794,1400000US48029121000,"Census Tract 1210, Bexar County, Texas",7778,418,2507,2786,3439,3630,4831,6169,6730
61795,1400000US48029121108,"Census Tract 1211.08, Bexar County, Texas",8109,340,995,1211,1559,1748,3154,4196,5249
61796,1400000US48029121110,"Census Tract 1211.10, Bexar County, Texas",5169,123,448,668,858,858,1629,2616,3170
61797,1400000US48029121111,"Census Tract 1211.11, Bexar County, Texas",6917,857,1309,1458,1745,2438,3378,5037,5669
61798,1400000US48029121112,"Census Tract 1211.12, Bexar County, Texas",3717,308,591,678,825,937,1621,2540,2988
61799,1400000US48029121115,"Census Tract 1211.15, Bexar County, Texas",5744,312,824,893,971,995,1702,2483,3361
61800,1400000US48029121116,"Census Tract 1211.16, Bexar County, Texas",5399,281,848,945,1369,1432,2829,3509,3963
61801,1400000US48029121117,"Census Tract 1211.17, Bexar County, Texas",4584,180,685,950,1288,1336,1764,2450,2887
61802,1400000US48029121118,"Census Tract 1211.18, Bexar County, Texas",6263,171,569,798,931,1488,2509,3168,4225
61803,1400000US48029121119,"Census Tract 1211.19, Bexar County, Texas",6153,585,805,931,1677,1718,2815,3743,4670
61804,1400000US48029121120,"Census Tract 1211.20, Bexar County, Texas",5148,124,317,562,1148,1285,2083,3040,3772
61805,1400000US48029121121,"Census Tract 1211.21, Bexar County, Texas",2908,28,82,104,132,132,435,840,1349
61806,1400000US48029121122,"Census Tract 1211.22, Bexar County, Texas",5974,152,446,512,766,828,1273,2322,3175
61807,1400000US48029121203,"Census Tract 1212.03, Bexar County, Texas",4727,336,1225,1505,2119,2501,3940,4302,4581
