census_tract,cancer_percentage
48029130900,0.054000000000000006
48029131000,0.07200000000000001
48029131100,0.061
48029131200,0.06
48029131300,0.07400000000000001
48029131401,0.046
48029131402,0.055
48029131503,0.073
48029131504,0.053
48029131505,0.036000000000000004
48029131506,0.038
48029131507,0.040999999999999995
48029131601,0.059000000000000004
48029131606,0.046
48029131608,0.045
48029131609,0.046
48029131610,0.038
48029131611,0.065
48029131612,0.034
48029131613,0.048
48029131614,0.039
48029131615,0.045
48029131700,0.027999999999999997
48029131801,0.073
48029131802,0.066
48029140100,0.052000000000000005
48029140200,0.053
48029140300,0.049
48029140400,0.052000000000000005
48029140500,0.052000000000000005
48029140600,0.05
48029140700,0.059000000000000004
48029140800,0.052000000000000005
48029140900,0.055999999999999994
48029141000,0.046
48029141101,0.05
48029141102,0.045
48029141200,0.055999999999999994
48029141300,0.06
48029141402,0.042
48029141403,0.061
48029141404,0.065
48029141600,0.036000000000000004
48029141700,0.048
48029141800,0.057
48029141900,0.067
48029150100,0.048
48029150300,0.051
48029150400,0.055
48029150501,0.054000000000000006
48029150502,0.051
48029150600,0.054000000000000006
48029150700,0.051
48029150800,0.046
48029150900,0.053
48029151000,0.053
48029151100,0.054000000000000006
48029151200,0.047
48029151301,0.051
48029151302,0.051
48029151400,0.052000000000000005
48029151500,0.055
48029151600,0.055999999999999994
48029151700,0.054000000000000006
48029151900,0.042
48029152000,0.032
48029152100,0.051
48029152201,0.049
48029152202,0.048
48029160100,0.049
48029160200,0.054000000000000006
48029160300,0.053
48029160400,0.057
48029160501,0.045
48029160502,0.06
48029160600,0.051
48029160701,0.053
48029160702,0.052000000000000005
48029160901,0.05
48029160902,0.048
48029161000,0.046
48029161100,0.046
48029161200,0.042
48029161302,0.036000000000000004
48029161303,0.04
48029161304,0.039
48029161400,0.01
48029161501,0.05
48029161503,0.046
48029161504,0.043
48029161600,0.048
48029161801,0.063
48029161802,0.04
48029161901,0.054000000000000006
48029161902,0.040999999999999995
48029162001,0.055
48029162003,0.052000000000000005
48029162004,0.049
48029170101,0.048
48029170102,0.049
48029170200,0.055
48029170300,0.046
48029170401,0.046
48029170402,0.051
48029170500,0.059000000000000004
48029170600,0.051
48029170700,0.05
48029170800,0.052000000000000005
48029170900,0.057
48029171000,0.05
48029171100,0.054000000000000006
48029171200,0.048
48029171301,0.053
48029171302,0.040999999999999995
48029171401,0.032
48029171402,0.048
48029171501,0.048
48029171502,0.054000000000000006
48029171601,0.039
48029171602,0.044000000000000004
48029171700,0.055
48029171801,0.054000000000000006
48029171802,0.05
48029171902,0.03
48029171903,0.052000000000000005
48029171912,0.04
48029171913,0.043
48029171914,0.048
48029171915,0.06
48029171916,0.04
48029171917,0.039
48029171918,0.037000000000000005
48029171919,0.03
48029171920,0.04
48029171921,0.039
48029171922,0.033
48029171923,0.04
48029171924,0.036000000000000004
48029171925,0.047
48029172002,0.06
48029172003,0.042
48029172004,0.08
48029172005,0.032
48029172006,0.047
48029172007,0.043
48029180101,0.062
48029180102,0.06
48029180201,0.051
48029180202,0.062
48029180300,0.052000000000000005
48029180400,0.046
48029180501,0.062
48029180503,0.054000000000000006
48029180504,0.049
48029180602,0.08900000000000001
48029180603,0.06
48029180604,0.06
48029180701,0.057
48029180702,0.057
48029180800,0.048
48029180901,0.057999999999999996
48029180902,0.052000000000000005
48029181001,0.061
48029181003,0.033
48029181004,0.035
48029181005,0.044000000000000004
48029181100,0.079
48029181200,0.083
48029181301,0.05
48029181302,0.046
48029181303,0.035
48029181402,0.051
48029181403,0.035
48029181404,0.048
48029181503,0.049
48029181504,0.037000000000000005
48029181505,0.073
48029181506,0.057999999999999996
48029181601,0.068
