state,epa_region,county,fips,tract,population,respiratory_hi,neurological_hi,liver_hi,developmental_hi,reproductive_hi,kidney_hi,ocular_hi,endocrine_hi,hematological_hi,immunological_hi,skeletal_hi,spleen_hi,thyroid_hi,whole_body_hi
TX,EPA Region 6,Bastrop,48021,48021950300,12927,0.3,0.02,0.007,0.01,0.02,0.002,5e-11,3e-07,2e-07,0.007,0.0001,0.0,0.002,0.0001
TX,EPA Region 6,Bastrop,48021,48021950400,7984,0.3,0.02,0.008,0.02,0.02,0.002,7e-11,3e-07,2e-07,0.008,0.0001,0.0,0.006,0.0001
TX,EPA Region 6,Bastrop,48021,48021950501,8008,0.3,0.02,0.007,0.02,0.02,0.002,2e-10,2e-07,5e-07,0.006,0.0002,0.0,0.003,0.0002
TX,EPA Region 6,Bastrop,48021,48021950502,6409,0.3,0.02,0.007,0.01,0.02,0.002,2e-10,2e-07,5e-07,0.006,8e-05,0.0,0.002,0.0001
TX,EPA Region 6,Bastrop,48021,48021950600,5184,0.3,0.01,0.007,0.01,0.01,0.001,1e-11,1e-07,2e-07,0.005,5e-05,0.0,0.001,0.0001
TX,EPA Region 6,Bastrop,48021,48021950700,4189,0.3,0.02,0.007,0.01,0.01,0.001,1e-11,1e-07,2e-07,0.006,4e-05,0.0,0.003,0.0001
TX,EPA Region 6,Bastrop,48021,48021950801,6520,0.3,0.01,0.007,0.01,0.01,0.002,5e-11,5e-07,3e-07,0.006,0.0001,0.0,0.001,0.0001
TX,EPA Region 6,Bastrop,48021,48021950802,6387,0.3,0.01,0.007,0.009,0.01,0.002,4e-11,4e-07,2e-07,0.006,9e-05,0.0,0.0008,0.0001
TX,EPA Region 6,Baylor,48023,48023000000,3726,0.2,0.01,0.006,0.01,0.01,0.0009,1e-09,2e-08,5e-08,0.005,7e-08,0.0,0.0005,0.0001
TX,EPA Region 6,Baylor,48023,48023950300,3726,0.2,0.01,0.006,0.01,0.01,0.0009,1e-09,2e-08,5e-08,0.005,7e-08,0.0,0.0005,0.0001
TX,EPA Region 6,Bee,48025,48025000000,31861,0.3,0.02,0.007,0.008,0.009,0.001,3e-11,2e-07,6e-08,0.006,4e-07,0.0,0.003,9e-05
TX,EPA Region 6,Bee,48025,48025950100,2002,0.3,0.01,0.007,0.007,0.008,0.001,2e-11,7e-08,4e-08,0.006,7e-07,0.0,0.0009,9e-05
TX,EPA Region 6,Bee,48025,48025950201,7928,0.3,0.02,0.007,0.008,0.009,0.002,2e-11,9e-08,4e-08,0.005,3e-07,0.0,0.001,9e-05
TX,EPA Region 6,Bee,48025,48025950202,5059,0.3,0.02,0.007,0.008,0.009,0.002,2e-11,1e-07,5e-08,0.005,2e-07,0.0,0.001,9e-05
TX,EPA Region 6,Bee,48025,48025950300,5093,0.3,0.01,0.007,0.009,0.01,0.002,3e-11,1e-07,5e-08,0.006,6e-09,0.0,0.002,9e-05
TX,EPA Region 6,Bee,48025,48025950400,2006,0.3,0.02,0.007,0.009,0.01,0.002,4e-11,1e-07,6e-08,0.006,6e-09,0.0,0.002,9e-05
TX,EPA Region 6,Bee,48025,48025950500,7343,0.3,0.01,0.007,0.009,0.01,0.001,4e-11,1e-07,6e-08,0.006,6e-09,0.0,0.002,9e-05
TX,EPA Region 6,Bee,48025,48025950600,2430,0.3,0.03,0.007,0.007,0.007,0.001,8e-12,2e-06,2e-07,0.005,3e-06,0.0,0.02,8e-05
TX,EPA Region 6,Bell,48027,48027000000,310232,0.3,0.02,0.01,0.02,0.02,0.004,2e-10,9e-07,6e-07,0.01,7e-07,0.0,0.0006,0.0001
TX,EPA Region 6,Bell,48027,48027020100,6219,0.3,0.02,0.008,0.01,0.01,0.002,4e-11,6e-07,2e-07,0.008,2e-06,0.0,0.0003,0.0001
TX,EPA Region 6,Bell,48027,48027020201,6017,0.3,0.01,0.009,0.01,0.02,0.003,6e-11,6e-07,3e-07,0.01,4e-07,0.0,0.0001,0.0001
TX,EPA Region 6,Bell,48027,48027020202,6574,0.3,0.01,0.008,0.01,0.01,0.002,4e-11,4e-07,2e-07,0.008,6e-07,0.0,0.0002,0.0001
TX,EPA Region 6,Bell,48027,48027020300,7838,0.3,0.02,0.009,0.02,0.02,0.003,8e-11,8e-07,4e-07,0.01,3e-07,0.0,0.0002,0.0001
TX,EPA Region 6,Bell,48027,48027020401,3008,0.3,0.02,0.009,0.02,0.02,0.004,7e-11,7e-07,3e-07,0.01,3e-07,0.0,0.0002,0.0001
TX,EPA Region 6,Bell,48027,48027020402,2803,0.3,0.02,0.009,0.01,0.02,0.003,6e-11,6e-07,3e-07,0.009,3e-07,0.0,0.0002,0.0001
TX,EPA Region 6,Bell,48027,48027020500,3810,0.3,0.02,0.008,0.02,0.02,0.003,6e-11,6e-07,3e-07,0.01,2e-07,0.0,0.0002,0.0001
TX,EPA Region 6,Bell,48027,48027020600,2574,0.4,0.02,0.009,0.02,0.02,0.004,7e-11,6e-07,3e-07,0.01,2e-07,0.0,0.0002,0.0001
TX,EPA Region 6,Bell,48027,48027020701,1343,0.3,0.02,0.009,0.02,0.02,0.004,7e-11,7e-07,3e-07,0.01,2e-07,0.0,0.0002,0.0001
TX,EPA Region 6,Bell,48027,48027020702,2172,0.3,0.02,0.009,0.02,0.02,0.004,7e-11,7e-07,4e-07,0.01,2e-07,0.0,0.0002,0.0001
TX,EPA Region 6,Bell,48027,48027020800,3528,0.3,0.02,0.009,0.02,0.02,0.003,6e-11,6e-07,3e-07,0.009,2e-07,0.0,0.0002,0.0001
TX,EPA Region 6,Bell,48027,48027020900,2998,0.3,0.02,0.009,0.02,0.02,0.003,6e-11,7e-07,3e-07,0.01,2e-07,0.0,0.0001,0.0001
TX,EPA Region 6,Bell,48027,48027021000,4610,0.3,0.02,0.009,0.02,0.02,0.003,7e-11,7e-07,4e-07,0.01,2e-07,0.0,0.0002,0.0001
TX,EPA Region 6,Bell,48027,48027021100,5402,0.3,0.02,0.009,0.02,0.02,0.004,7e-11,8e-07,4e-07,0.01,2e-07,0.0,0.0002,0.0001
TX,EPA Region 6,Bell,48027,48027021201,3021,0.3,0.03,0.009,0.02,0.02,0.003,7e-11,8e-07,4e-07,0.01,2e-07,0.0,0.0002,0.0001
TX,EPA Region 6,Bell,48027,48027021202,4130,0.3,0.03,0.009,0.02,0.02,0.004,8e-11,8e-07,4e-07,0.01,2e-07,0.0,0.0002,0.0001
TX,EPA Region 6,Bell,48027,48027021203,4298,0.3,0.02,0.009,0.02,0.02,0.004,8e-11,9e-07,4e-07,0.01,2e-07,0.0,0.0001,0.0001
TX,EPA Region 6,Bell,48027,48027021301,4796,0.3,0.02,0.009,0.02,0.02,0.003,7e-11,8e-07,4e-07,0.01,2e-07,0.0,9e-05,0.0001
TX,EPA Region 6,Bell,48027,48027021302,2865,0.3,0.02,0.009,0.02,0.02,0.004,8e-11,8e-07,4e-07,0.01,2e-07,0.0,0.0001,0.0001
TX,EPA Region 6,Bell,48027,48027021303,6153,0.3,0.01,0.009,0.02,0.02,0.003,7e-11,7e-07,4e-07,0.01,2e-07,0.0,9e-05,0.0001
TX,EPA Region 6,Bell,48027,48027021400,3834,0.3,0.01,0.008,0.01,0.01,0.002,3e-11,3e-07,2e-07,0.008,2e-07,0.0,0.0001,0.0001
TX,EPA Region 6,Bell,48027,48027021500,6535,0.3,0.01,0.009,0.02,0.02,0.003,7e-11,8e-07,4e-07,0.01,4e-07,0.0,7e-05,0.0001
