WKT,Company,Corp,Site,State,PADD,AD_Mbpd,VDist_Mbpd,CaDis_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period,Latitude,Longitude,GEOMETRY_X,GEOMETRY_Y
"POINT (-108.490143 45.7805700000001)",PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,BILLINGS,Montana,4,63.4,37.1,22.5,0,13.6,7.3,80.9,21.7,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,45.78057,-108.490143,-108.490143,45.7805700000001
"POINT (-97.079264 36.675939)",PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,PONCA CITY,Oklahoma,2,218.7,88.3,74.6,0,53.6,17.1,230.2,27.4,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,36.675939,-97.079264,-97.079264,36.675939
"POINT (-90.330328 29.939755)",SHELL OIL PRODUCTS US,ROYAL DUTCH/SHELL GROUP,SAINT ROSE,Louisiana,3,46,25,0,0,0,0,0,0,13,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.939755,-90.330328,-90.330328,29.939755
"POINT (-104.78975 41.1271320000001)",HOLLYFRONTIER CHEYENNE REFINING LLC,HOLLYFRONTIER CORP,CHEYENNE,Wyoming,4,52,28,12.5,0,9.2,4.2,38,13.7,16,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,41.127132,-104.78975,-104.78975,41.1271320000001
"POINT (-93.889234 29.958382)",PREMCOR REFINING GROUP INC,VALERO ENERGY CORP,PORT ARTHUR,Texas,3,415,220,75,0,55,19.5,331.3,99.6,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.958382,-93.889234,-93.889234,29.958382
"POINT (-92.673774 33.199731)",LION OIL CO,DELEK GROUP LTD,EL DORADO,Arkansas,3,85,45,21,0,15.3,12.5,92.8,0,20.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,33.199731,-92.673774,-92.673774,33.199731
"POINT (-95.251761 29.701556)",HOUSTON REFINING LP,ACCESS INDUSTRIES,HOUSTON,Texas,3,302.3,202,110,0,0,11.3,393.5,99.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.701556,-95.251761,-95.251761,29.701556
"POINT (-118.146627 33.899551)",PARAMOUNT PETROLEUM CORPORATION,ALON ISRAEL OIL COMPANY LTD,PARAMOUNT,California,5,90,30,0,0,12,0,36.5,0,16.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,33.899551,-118.146627,-118.146627,33.899551
"POINT (-147.748499 64.85276)",PETRO STAR INC,ARCTIC SLOPE REGIONAL CORP,NORTH POLE,Alaska,5,22.5,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,64.85276,-147.748499,-147.748499,64.85276
"POINT (-146.381762 61.081919)",PETRO STAR INC,ARCTIC SLOPE REGIONAL CORP,VALDEZ,Alaska,5,60,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,61.081919,-146.381762,-146.381762,61.081919
"POINT (-93.332596 30.1811740000001)",CITGO PETROLEUM CORP,PDV AMERICA INC,LAKE CHARLES,Louisiana,3,440,230,151,0,112.8,54.4,404.2,110,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,30.181174,-93.332596,-93.332596,30.1811740000001
"POINT (-97.428434 27.809474)",CITGO REFINING & CHEMICAL INC,PDV AMERICA INC,CORPUS CHRISTI,Texas,3,163.5,85.3,83.8,0,51.5,24,253.8,44.9,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,27.809474,-97.428434,-97.428434,27.809474
"POINT (-75.228352 39.8414260000001)",AXEON SPECIALTY PRODUCTS LLC,LINDSAY GOLDBERG LLC,PAULSBORO,New Jersey,1,78,32,0,0,0,0,0,0,49,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,39.841426,-75.228352,-75.228352,39.8414260000001
"POINT (-120.51108 34.930191)",SANTA MARIA REFINING COMPANY,GREKA ENERGY,SANTA MARIA,California,5,10,10,0,0,0,0,0,0,6,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,34.930191,-120.51108,-120.51108,34.930191
"POINT (-107.109511 41.7801630000001)",SINCLAIR WYOMING REFINING CO,SINCLAIR OIL CORP,SINCLAIR,Wyoming,4,90,41,22,0,14.5,4.5,72,20,8,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,41.780163,-107.109511,-107.109511,41.7801630000001
"POINT (-95.999949 36.116749)",HOLLYFRONTIER TULSA REFINING LLC,HOLLYFRONTIER CORP,TULSA EAST,Oklahoma,2,75.5,27,27,0,23,18.5,96,0,15.2,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,36.116749,-95.999949,-95.999949,36.116749
"POINT (-106.242437 42.8584530000001)",LITTLE AMERICA REFINING CO,SINCLAIR OIL CORP,EVANSVILLE,Wyoming,4,25.5,0,12,0,5,0,24.5,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,42.858453,-106.242437,-106.242437,42.8584530000001
"POINT (-91.748001 30.526508)",ALON REFINING KROTZ SPRINGS INC,ALON ISRAEL OIL COMPANY LTD,KROTZ SPRINGS,Louisiana,3,83,36.2,34,0,13,6.2,32,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,30.526508,-91.748001,-91.748001,30.526508
"POINT (-95.2555849999999 29.7228050000001)",VALERO REFINING CO TEXAS LP,VALERO ENERGY CORP,HOUSTON,Texas,3,103,38,71.5,0,0,11.8,56,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.722805,-95.255585,-95.2555849999999,29.7228050000001
"POINT (-94.895337 29.378096)",VALERO REFINING CO TEXAS LP,VALERO ENERGY CORP,TEXAS CITY,Texas,3,231,133.5,86,0,18.1,21.2,286,53.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.378096,-94.895337,-94.895337,29.378096
"POINT (-90.892547 30.1077740000001)",Motiva Enterprises LLC,MOTIVA ENTERPRISES LLC,CONVENT,Louisiana,3,255,119.4,92,0,40,29,247.8,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,30.107774,-90.892547,-90.892547,30.1077740000001
"POINT (-75.631323 39.5877330000001)",DELAWARE CITY REFINING CO LLC,PBF ENERGY CO LLC,DELAWARE CITY,Delaware,1,190.2,104.6,86,0,43.8,11.7,150.5,54.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,39.587733,-75.631323,-75.631323,39.5877330000001
"POINT (-93.9692239999999 29.8600010000001)",Motiva Enterprises LLC,MOTIVA ENTERPRISES LLC,PORT ARTHUR,Texas,3,635,331.8,90,0,129.5,69.1,499.5,164.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.860001,-93.969224,-93.9692239999999,29.8600010000001
"POINT (-93.3200679999999 30.132389)",CALCASIEU REFINING CO,TRANSWORLD OIL USA INC,LAKE CHARLES,Louisiana,3,90,30,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,30.132389,-93.320068,-93.3200679999999,30.132389
"POINT (-94.2282079999999 30.3983480000001)",SOUTH HAMPTON RESOURCES INC,TEXAS OIL & CHEMICAL CO,SILSBEE,Texas,3,0,0,0,0,1.6,4.4,15,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,30.398348,-94.228208,-94.2282079999999,30.3983480000001
"POINT (-90.4232019999999 30.002368)",VALERO REFINING NEW ORLEANS LLC,VALERO ENERGY CORP,NORCO,Louisiana,3,220,160,100,0,27.5,21,234,84,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,30.002368,-90.423202,-90.4232019999999,30.002368
"POINT (-79.128024 41.832187)",UNITED REFINING CO,RED APPLE GROUP INC,WARREN,Pennsylvania,1,70,40,26,0,14,13,51,0,22,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,41.832187,-79.128024,-79.128024,41.832187
"POINT (-97.787248 29.261622)",LAZARUS ENERGY LLC,BLUE DOLPHIN ENERGY CO,NIXON,Texas,3,15,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.261622,-97.787248,-97.787248,29.261622
"POINT (-88.04655 41.655625)",PDV Midwest Refining LLC,PDV AMERICA INC,LEMONT,Illinois,2,185.2,77.2,69.5,0,34.9,21,225.2,40.4,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,41.655625,-88.04655,-88.04655,41.655625
"POINT (-83.158493 42.2837000000001)",MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,DETROIT,Michigan,2,144,77.5,40,0,21.5,7,130,30,23,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,42.2837,-83.158493,-83.158493,42.2837000000001
"POINT (-94.910472 29.366542)",MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,TEXAS CITY,Texas,3,89.5,0,58.5,0,11,14.5,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.366542,-94.910472,-94.910472,29.366542
"POINT (-90.595952 30.060139)",MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,GARYVILLE,Louisiana,3,574,297,138,0,128,59.5,567,93.5,33,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,30.060139,-90.595952,-90.595952,30.060139
"POINT (-87.715851 38.997284)",MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,ROBINSON,Illinois,2,225,71.5,54.5,0,80.5,29,189,30,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,38.997284,-87.715851,-87.715851,38.997284
"POINT (-89.0091889999999 31.8148840000001)",HUNT SOUTHLAND REFINING CO,HUNT CONSLD INC,SANDERSVILLE,Mississippi,3,12.5,6.9,0,0,0,0,0,0,6.1,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,31.814884,-89.009189,-89.0091889999999,31.8148840000001
"POINT (-118.166647 33.9463720000001)",LUNDAY THAGARD CO,WORLD OIL CO,SOUTH GATE,California,5,10,7,0,0,0,0,0,0,5.8,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,33.946372,-118.166647,-118.166647,33.9463720000001
"POINT (-110.806321 41.2611420000001)",Silver Eagle Refining,SILVER EAGLE REFINING INC,EVANSTON,Wyoming,4,3.4,0,0,0,2.9,0,3.9,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,41.261142,-110.806321,-110.806321,41.2611420000001
"POINT (-87.3629999999999 31.0720000000001)",GOODWAY REFINING LLC,GOODWAY REFINING LLC,ATMORE,Alabama,3,5,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,31.072,-87.363,-87.3629999999999,31.0720000000001
"POINT (-93.339019 30.188295)",EXCEL PARALUBES,EXCEL PARALUBES,WESTLAKE,Louisiana,3,0,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,30.188295,-93.339019,-93.339019,30.188295
"POINT (-95.113566 29.82338)",EQUISTAR CHEMICALS LP,ACCESS INDUSTRIES,CHANNELVIEW,Texas,3,0,0,0,0,0,22,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.82338,-95.113566,-95.113566,29.82338
"POINT (-105.2604 43.02)",ANTELOPE REFINING LLC,GENESIS ENERGY LP,DOUGLAS,Wyoming,4,4.5,3.5,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,43.02,-105.2604,-105.2604,43.02
"POINT (-102.911365 46.855395)",DAKOTA PRAIRIE REFINING LLC,DAKOTA PRAIRIE REFINING LLC,DICKINSON,North Dakota,2,20,0,0,0,0,0,8,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,46.855395,-102.911365,-102.911365,46.855395
"POINT (-95.219682 29.7330180000001)",KINDER MORGAN CRUDE & CONDENSATE,KINDER MORGAN ENERGY PTNRS LP,GALENA PARK,Texas,3,100,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.733018,-95.219682,-95.219682,29.7330180000001
"POINT (-95.1232209999999 29.75377)",PETROMAX REFINING CO LLC,PETROMAX REFINING CO LLC,HOUSTON,Texas,3,27.5,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.75377,-95.123221,-95.1232209999999,29.75377
"POINT (-97.505532 27.8178950000001)",BUCKEYE TEXAS PROCESSING LLC,BUCKEYE PARTNERS LP,CORPUS CHRISTI,Texas,3,50,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,27.817895,-97.505532,-97.505532,27.8178950000001
