,id,geoid,households,below_poverty,hh_snap,hh_nowork
61857,1400000US48029131401,"Census Tract 1314.01, Bexar County, Texas",2917,398,288,8.9
61858,1400000US48029131402,"Census Tract 1314.02, Bexar County, Texas",902,221,197,18.9
61859,1400000US48029131503,"Census Tract 1315.03, Bexar County, Texas",1174,117,223,13.3
61860,1400000US48029131504,"Census Tract 1315.04, Bexar County, Texas",1403,231,218,15.3
61861,1400000US48029131505,"Census Tract 1315.05, Bexar County, Texas",1404,128,106,9.5
61862,1400000US48029131506,"Census Tract 1315.06, Bexar County, Texas",1123,140,71,11.1
61863,1400000US48029131507,"Census Tract 1315.07, Bexar County, Texas",1750,272,301,4.5
61864,1400000US48029131601,"Census Tract 1316.01, Bexar County, Texas",1514,45,60,7.3
61865,1400000US48029131606,"Census Tract 1316.06, Bexar County, Texas",1748,48,90,7.4
61866,1400000US48029131608,"Census Tract 1316.08, Bexar County, Texas",1858,228,232,11.4
61867,1400000US48029131609,"Census Tract 1316.09, Bexar County, Texas",2014,223,119,16.4
61868,1400000US48029131610,"Census Tract 1316.10, Bexar County, Texas",1381,108,264,7.9
61869,1400000US48029131611,"Census Tract 1316.11, Bexar County, Texas",327,16,11,23.4
61870,1400000US48029131612,"Census Tract 1316.12, Bexar County, Texas",595,27,65,2.3
61871,1400000US48029131613,"Census Tract 1316.13, Bexar County, Texas",1325,47,40,8.0
61872,1400000US48029131614,"Census Tract 1316.14, Bexar County, Texas",1107,52,101,7.1
61873,1400000US48029131615,"Census Tract 1316.15, Bexar County, Texas",2382,147,187,6.5
61874,1400000US48029131700,"Census Tract 1317, Bexar County, Texas",264,5,0,2.3
61875,1400000US48029131801,"Census Tract 1318.01, Bexar County, Texas",702,33,21,22.6
61876,1400000US48029131802,"Census Tract 1318.02, Bexar County, Texas",1390,182,139,14.6
61877,1400000US48029140100,"Census Tract 1401, Bexar County, Texas",483,80,110,17.8
61878,1400000US48029140200,"Census Tract 1402, Bexar County, Texas",971,267,230,19.3
61879,1400000US48029140300,"Census Tract 1403, Bexar County, Texas",1031,338,275,16.7
61880,1400000US48029140400,"Census Tract 1404, Bexar County, Texas",1245,204,161,8.9
61881,1400000US48029140500,"Census Tract 1405, Bexar County, Texas",1323,159,130,16.6
61882,1400000US48029140600,"Census Tract 1406, Bexar County, Texas",828,221,201,5.1
61883,1400000US48029140700,"Census Tract 1407, Bexar County, Texas",1886,535,415,15.3
61884,1400000US48029140800,"Census Tract 1408, Bexar County, Texas",1656,405,359,11.3
61885,1400000US48029140900,"Census Tract 1409, Bexar County, Texas",656,238,129,12.7
61886,1400000US48029141000,"Census Tract 1410, Bexar County, Texas",1313,419,369,12.5
61887,1400000US48029141101,"Census Tract 1411.01, Bexar County, Texas",1371,502,471,17.8
61888,1400000US48029141102,"Census Tract 1411.02, Bexar County, Texas",1178,301,294,14.9
61889,1400000US48029141200,"Census Tract 1412, Bexar County, Texas",2427,653,623,12.4
61890,1400000US48029141300,"Census Tract 1413, Bexar County, Texas",2171,385,552,13.1
61891,1400000US48029141402,"Census Tract 1414.02, Bexar County, Texas",1687,255,136,10.3
61892,1400000US48029141403,"Census Tract 1414.03, Bexar County, Texas",1667,279,185,11.6
61893,1400000US48029141404,"Census Tract 1414.04, Bexar County, Texas",1805,422,388,9.4
61894,1400000US48029141600,"Census Tract 1416, Bexar County, Texas",1319,176,63,9.8
61895,1400000US48029141700,"Census Tract 1417, Bexar County, Texas",1495,102,223,5.6
61896,1400000US48029141800,"Census Tract 1418, Bexar County, Texas",1116,180,207,22.4
61897,1400000US48029141900,"Census Tract 1419, Bexar County, Texas",1505,131,182,23.6
61898,1400000US48029150100,"Census Tract 1501, Bexar County, Texas",1940,406,339,12.4
61899,1400000US48029150300,"Census Tract 1503, Bexar County, Texas",1240,363,332,16.1
61900,1400000US48029150400,"Census Tract 1504, Bexar County, Texas",1274,342,356,11.2
61901,1400000US48029150501,"Census Tract 1505.01, Bexar County, Texas",1253,256,325,10.7
61902,1400000US48029150502,"Census Tract 1505.02, Bexar County, Texas",1053,248,265,15.9
61903,1400000US48029150600,"Census Tract 1506, Bexar County, Texas",1421,392,428,12.1
61904,1400000US48029150700,"Census Tract 1507, Bexar County, Texas",2082,465,529,19.3
61905,1400000US48029150800,"Census Tract 1508, Bexar County, Texas",1037,568,546,23.4
61906,1400000US48029150900,"Census Tract 1509, Bexar County, Texas",2032,348,595,15.0
61907,1400000US48029151000,"Census Tract 1510, Bexar County, Texas",1017,249,267,3.7
61908,1400000US48029151100,"Census Tract 1511, Bexar County, Texas",2172,541,557,22.6
61909,1400000US48029151200,"Census Tract 1512, Bexar County, Texas",3083,350,503,12.2
61910,1400000US48029151301,"Census Tract 1513.01, Bexar County, Texas",1709,359,362,17.5
61911,1400000US48029151302,"Census Tract 1513.02, Bexar County, Texas",971,206,260,12.7
61912,1400000US48029151400,"Census Tract 1514, Bexar County, Texas",1346,345,368,14.7
61913,1400000US48029151500,"Census Tract 1515, Bexar County, Texas",855,158,156,16.0
61914,1400000US48029151600,"Census Tract 1516, Bexar County, Texas",2513,444,683,11.7
61915,1400000US48029151700,"Census Tract 1517, Bexar County, Texas",2055,367,314,11.8
61916,1400000US48029151900,"Census Tract 1519, Bexar County, Texas",2095,540,641,8.1
61917,1400000US48029152000,"Census Tract 1520, Bexar County, Texas",791,209,174,9.1
61918,1400000US48029152100,"Census Tract 1521, Bexar County, Texas",1295,263,307,11.8
61919,1400000US48029152201,"Census Tract 1522.01, Bexar County, Texas",1878,556,404,14.3
61920,1400000US48029152202,"Census Tract 1522.02, Bexar County, Texas",1418,138,202,7.2
61921,1400000US48029160100,"Census Tract 1601, Bexar County, Texas",1897,832,662,21.3
61922,1400000US48029160200,"Census Tract 1602, Bexar County, Texas",941,173,219,6.9
61923,1400000US48029160300,"Census Tract 1603, Bexar County, Texas",1734,538,461,22.1
61924,1400000US48029160400,"Census Tract 1604, Bexar County, Texas",1497,387,250,20.1
61925,1400000US48029160501,"Census Tract 1605.01, Bexar County, Texas",1142,641,542,30.6
61926,1400000US48029160502,"Census Tract 1605.02, Bexar County, Texas",1238,366,409,14.7
61927,1400000US48029160600,"Census Tract 1606, Bexar County, Texas",1407,452,555,19.0
61928,1400000US48029160701,"Census Tract 1607.01, Bexar County, Texas",1039,211,326,18.9
61929,1400000US48029160702,"Census Tract 1607.02, Bexar County, Texas",1897,553,585,19.1
61930,1400000US48029160901,"Census Tract 1609.01, Bexar County, Texas",798,245,237,17.2
61931,1400000US48029160902,"Census Tract 1609.02, Bexar County, Texas",1247,322,517,13.4
61932,1400000US48029161000,"Census Tract 1610, Bexar County, Texas",1111,368,405,20.5
61933,1400000US48029161100,"Census Tract 1611, Bexar County, Texas",2584,441,540,10.6
61934,1400000US48029161200,"Census Tract 1612, Bexar County, Texas",764,215,209,13.3
61935,1400000US48029161302,"Census Tract 1613.02, Bexar County, Texas",1462,306,412,9.1
61936,1400000US48029161303,"Census Tract 1613.03, Bexar County, Texas",1067,272,338,7.0
61937,1400000US48029161304,"Census Tract 1613.04, Bexar County, Texas",991,175,368,5.0
61938,1400000US48029161400,"Census Tract 1614, Bexar County, Texas",413,3,23,0.0
61939,1400000US48029161501,"Census Tract 1615.01, Bexar County, Texas",2702,738,759,11.7
61940,1400000US48029161503,"Census Tract 1615.03, Bexar County, Texas",1320,186,188,15.5
61941,1400000US48029161504,"Census Tract 1615.04, Bexar County, Texas",1163,259,356,16.6
61942,1400000US48029161600,"Census Tract 1616, Bexar County, Texas",1217,261,392,13.8
61943,1400000US48029161801,"Census Tract 1618.01, Bexar County, Texas",1233,69,218,11.4
61944,1400000US48029161802,"Census Tract 1618.02, Bexar County, Texas",2450,488,620,10.1
61945,1400000US48029161901,"Census Tract 1619.01, Bexar County, Texas",276,33,31,12.1
61946,1400000US48029161902,"Census Tract 1619.02, Bexar County, Texas",2500,276,375,8.9
61947,1400000US48029162001,"Census Tract 1620.01, Bexar County, Texas",526,70,97,14.5
61948,1400000US48029162003,"Census Tract 1620.03, Bexar County, Texas",1260,211,165,12.9
